TEAM_ID,MODE,STATE,TEMPERATURE,ALTITUDE,PRESSURE,VOLTAGE
ULGAN,CALIBRATION,IDLE,31.83,151.55,980.84,5.73
ULGAN,CALIBRATION,DESCENDING,18.85,1202.8,932.03,3.5
ULGAN,DEBUG,ASCENDING,2.16,818.61,999.86,6.72
ULGAN,TEST,RECOVERED,38.16,485.5,977.15,3.65
ULGAN,DEBUG,LANDED,18.96,806.32,906.13,8.07
ULGAN,CALIBRATION,ASCENDING,9.41,472.35,1003.28,5.13
ULGAN,DEBUG,ASCENDING,-5.69,1389.04,943.33,5.42
ULGAN,CALIBRATION,RECOVERED,0.09,793.65,913.03,6.11
ULGAN,TEST,ASCENDING,29.58,519.72,919.14,5.52
ULGAN,TEST,DESCENDING,35.3,563.53,1036.06,7.63
ULGAN,FLIGHT,RECOVERED,14.74,720.01,999.88,5.68
ULGAN,DEBUG,LANDED,-6.85,1478.63,950.9,4.15
ULGAN,CALIBRATION,ASCENDING,-2.84,93.75,1020.36,7.09
ULGAN,TEST,IDLE,34.01,840.5,962.44,7.4
ULGAN,CALIBRATION,DESCENDING,-9.54,1355.52,982.38,5.33
ULGAN,DEBUG,DESCENDING,2.61,344.28,900.72,8.46
ULGAN,TEST,IDLE,-9.29,145.1,948.98,3.51
ULGAN,FLIGHT,IDLE,13.4,310.62,945.66,7.55
ULGAN,TEST,ASCENDING,23.78,1323.97,948.99,8.04
ULGAN,TEST,DESCENDING,37.16,1415.48,957.45,4.28
ULGAN,FLIGHT,DESCENDING,12.35,361.68,991.83,4.98
ULGAN,CALIBRATION,DESCENDING,16.43,976.69,1020.79,4.57
ULGAN,FLIGHT,DESCENDING,12.0,248.33,919.15,8.76
ULGAN,TEST,RECOVERED,19.96,1108.57,901.92,4.32
ULGAN,TEST,RECOVERED,12.98,651.27,975.23,3.06
ULGAN,TEST,ASCENDING,18.65,432.62,975.57,3.09
ULGAN,TEST,RECOVERED,-6.37,537.77,922.91,5.64
ULGAN,FLIGHT,LANDED,-4.67,302.95,915.96,5.79
ULGAN,CALIBRATION,IDLE,11.13,860.01,1045.62,6.1
ULGAN,FLIGHT,LANDED,15.83,79.29,982.26,8.43
ULGAN,DEBUG,LANDED,19.9,882.48,989.87,5.64
ULGAN,FLIGHT,ASCENDING,25.0,94.1,1016.72,4.16
ULGAN,DEBUG,LANDED,11.81,262.59,946.23,4.38
ULGAN,CALIBRATION,LANDED,19.75,1213.63,937.3,5.59
ULGAN,CALIBRATION,RECOVERED,28.79,615.52,1005.48,7.66
ULGAN,TEST,DESCENDING,38.45,735.76,1027.99,6.08
ULGAN,FLIGHT,LANDED,3.38,552.95,1044.39,5.52
ULGAN,FLIGHT,RECOVERED,29.41,437.48,1039.06,4.55
ULGAN,FLIGHT,ASCENDING,-3.14,1482.79,1018.14,8.0
ULGAN,TEST,RECOVERED,28.83,868.28,976.85,7.33
ULGAN,DEBUG,IDLE,-9.23,617.1,909.22,7.36
